Predator_name,Prey_name
Eunoe spica,Detritus
Eunoe spica,Bivalvia
Eunoe spica,Polychaeta
Eunoe spica,Pantopoda
Eunoe spica,Crustacea
Eunoe spica,Isopoda
Eunoe spica,Holothuria
Eunoe spica,Fish
Eunoe spica,Amphipoda
Eunoe hartmanae,Detritus
Eunoe hartmanae,Hydrozoa
Eunoe hartmanae,Bryozoa
Eunoe hartmanae,Polychaeta
Eunoe hartmanae,Ophiuroidea
Eunoe hartmanae,Amphipoda
Eunoe spica spicoides,Detritus
Eunoe spica spicoides,Bryozoa
Eunoe spica spicoides,Hydrozoa
Eunoe spica spicoides,Bivalvia
Eunoe spica spicoides,Gastropoda
Eunoe spica spicoides,Polychaeta
Eunoe spica spicoides,Pantopoda
Eunoe spica spicoides,Crustacea
Eunoe spica spicoides,Isopoda
Eunoe spica spicoides,Amphipoda
Eunoe spica spicoides,Holothuria
Eunoe spica spicoides,Crinoidea
Eunoe spica spicoides,Fish
Eucranta mollis,Detritus
Eucranta mollis,Crustacea
Promachocrinus kerguelensis,Detritus
Promachocrinus kerguelensis,Sediment
Promachocrinus kerguelensis,Phytoplankton
Anthometra adriani,Sediment
Anthometra adriani,Detritus
Anthometra adriani,Phytoplankton
Acodontaster conspicuus,Homaxinella balfourensis
Acodontaster conspicuus,Rossella racovitzae
Acodontaster conspicuus,Scolymastra joubini
Acodontaster conspicuus,Tetilla leptoderma
Acodontaster conspicuus,Haliclona dancoi
Acodontaster conspicuus,Mycale acerata
Acodontaster conspicuus,Kirkpatrickia variolosa
Bathybiaster loripes,Detritus
Cuenotaster involutus,Detritus
Diplasterias brucei,Yoldiella eightsi
Diplasterias brucei,Gastropoda
Diplasterias brucei,Detritus
Luidiaster gerlachei,Ophiuroidea
Luidiaster gerlachei,Detritus
Labidiaster annulatus,Ophiuroidea
Labidiaster annulatus,Gastropoda
Labidiaster annulatus,Amphipoda
Labidiaster annulatus,Bivalvia
Labidiaster annulatus,Crinoidea
Labidiaster annulatus,Polychaeta
Labidiaster annulatus,Asteroidea
Labidiaster annulatus,Isopoda
Labidiaster annulatus,Echinoidea
Lophaster gaini,Bivalvia
Lophaster gaini,Adamussium colbecki
Lophaster gaini,Yoldiella eightsi
Notasterias armata,Bivalvia
Notasterias armata,Adamussium colbecki
Notasterias armata,Yoldiella eightsi
Solaster sp.,Bivalvia
Solaster sp.,Polychaeta
Solaster sp.,Sediment
Solaster sp.,Detritus
Odontaster meridionalis,Porifera
Odontaster meridionalis,Detritus
Odontaster validus,Detritus
Odontaster validus,Amphipoda
Odontaster validus,Isopoda
Odontaster validus,Glyptonotus antarcticus
Odontaster validus,Asteroidea
Odontaster validus,Adamussium colbecki
Odontaster validus,Gastropoda
Odontaster validus,Bivalvia
Odontaster validus,Laternula elliptica
Odontaster validus,Yoldiella eightsi
Odontaster validus,Hydrozoa
Odontaster validus,Ophiuroidea
Odontaster validus,Bryozoa
Odontaster validus,Porifera
Odontaster validus,Homaxinella balfourensis
Odontaster validus,Rossella racovitzae
Odontaster validus,Rossella nuda
Odontaster validus,Scolymastra joubini
Odontaster validus,Tetilla leptoderma
Odontaster validus,Ostracoda
Odontaster validus,Echinoidea
Odontaster validus,Sterechinus neumayeri
Odontaster validus,Polychaeta
Odontaster validus,Bacillariophyta
Pteraster affinis aculeatus,Adamussium colbecki
Perknaster densus,Detritus
Perknaster fuscus antarcticus,Detritus
Perknaster fuscus antarcticus,Porifera
Perknaster fuscus antarcticus,Tetilla leptoderma
Perknaster fuscus antarcticus,Scolymastra joubini
Perknaster fuscus antarcticus,Mycale acerata
Macroptychaster accrescens,Asteroidea
Macroptychaster accrescens,Odontaster validus
Macroptychaster accrescens,Echinoidea
